창고,SKU명,카테고리,예측수요,현재고,안전재고계수,조정수요,발주권고량,발주필요
A센터,[CJ제일제당] 다시다_500g (0002),가공식품,124,175.73182552389068,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0086),가공식품,124,404.5788218952878,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0118),가공식품,124,288.9787268158278,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0126),가공식품,124,207.79247519688124,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0163),가공식품,124,135.70756002548376,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0205),가공식품,124,294.89187739532576,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0341),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (0429),가공식품,124,49.58839698372725,1.05,130,80,1
A센터,[CJ제일제당] 다시다_500g (0466),가공식품,124,187.01266549493698,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0525),가공식품,124,67.79132948235446,1.05,130,62,1
A센터,[CJ제일제당] 다시다_500g (0571),가공식품,124,279.5198003007022,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0587),가공식품,124,68.85823081722833,1.05,130,61,1
A센터,[CJ제일제당] 다시다_500g (0627),가공식품,124,260.81353083309205,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0700),가공식품,124,215.29455098741857,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0714),가공식품,124,30.237408445069292,1.05,130,100,1
A센터,[CJ제일제당] 다시다_500g (0747),가공식품,124,235.04959782026836,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0866),가공식품,124,170.63689189450153,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0873),가공식품,124,280.3848852048988,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (0955),가공식품,124,73.40099822225926,1.05,130,57,1
A센터,[CJ제일제당] 다시다_500g (0986),가공식품,124,90.80187779676757,1.05,130,39,1
A센터,[CJ제일제당] 다시다_500g (1001),가공식품,124,75.541465137156,1.05,130,54,1
A센터,[CJ제일제당] 다시다_500g (1036),가공식품,124,267.3252572917993,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1090),가공식품,124,24.302591107941225,1.05,130,106,1
A센터,[CJ제일제당] 다시다_500g (1107),가공식품,124,140.07815480832792,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1111),가공식품,124,3.0737750118524048,1.05,130,127,1
A센터,[CJ제일제당] 다시다_500g (1160),가공식품,124,73.90529904110394,1.05,130,56,1
A센터,[CJ제일제당] 다시다_500g (1288),가공식품,124,70.6154555848463,1.05,130,59,1
A센터,[CJ제일제당] 다시다_500g (1306),가공식품,124,12.792561606104613,1.05,130,117,1
A센터,[CJ제일제당] 다시다_500g (1314),가공식품,124,223.52773455763617,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1349),가공식품,124,394.69757981462834,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1430),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (1448),가공식품,124,137.07769794743203,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1470),가공식품,124,148.61781020925497,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1498),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (1521),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (1579),가공식품,124,163.60162431339293,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1600),가공식품,124,29.725072368926533,1.05,130,100,1
A센터,[CJ제일제당] 다시다_500g (1609),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (1661),가공식품,124,132.1321735715633,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1671),가공식품,124,213.0526427194616,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1709),가공식품,124,75.89800748784037,1.05,130,54,1
A센터,[CJ제일제당] 다시다_500g (1863),가공식품,124,266.14667825039317,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1875),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (1907),가공식품,124,69.72455634351053,1.05,130,60,1
A센터,[CJ제일제당] 다시다_500g (1915),가공식품,124,0.0,1.05,130,130,1
